rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
499,Aurélien Chedjou,Cameroon,DF,Amiens,Ligue 1,34,1985,22,1971,0,0,0,0,0,0.7,0.7,11,82,0.00,0.00,27,19,45.5,11,4,40,120,3,0,0,0,0,0,0,0,826,1051,78.6,7802,89.5,86.3,54.8,3,73,2,177,11,81.8,18.2,11,3,0,5,0,8,25.0,0.09,0.00,0.00,50.7,0.68,0.05,0,2019-2020
500,Pape Cheikh Diop,Senegal,MF,Celta Vigo,La Liga,21,1997,16,599,0,1,1,0,0,0.1,0.1,9,23,0.00,0.15,10,4,16.7,2,2,5,3,0,0,0,0,0,0,0,0,238,265,89.8,961,88.7,94.4,88.0,5,25,2,9,9,55.6,44.4,9,10,0,6,0,2,0.0,0.00,0.00,0,38.5,1.65,0.60,0,2019-2020
501,Chema,Spain,DF,Getafe,La Liga,27,1992,4,309,0,0,0,0,0,0.2,0.2,0,4,0.00,0.00,4,3,50.0,0,1,5,12,0,0,0,0,0,0,0,0,76,130,58.5,706,60.9,80.8,40.4,0,7,0,13,1,100.0,0.0,0,0,0,0,0,3,0.0,0.00,0.00,0,46.2,0.29,0.00,0,2019-2020
502,Rayan Cherki,France,MF,Lyon,Ligue 1,15,2003,6,143,0,0,0,0,0,0.2,0.2,2,3,0.00,0.00,3,2,75.0,0,3,0,0,0,0,0,0,0,0,0,0,42,65,64.6,133,78.6,85.7,16.7,1,2,0,0,13,76.9,23.1,2,5,0,7,0,3,66.7,1.26,0.00,0.00,0.0,3.78,0.00,0,2019-2020
503,Denis Cheryshev,Russia,MF,Valencia,La Liga,28,1990,24,926,1,2,3,1,0,3.4,3.4,29,33,0.10,0.19,16,9,17.6,1,14,7,10,0,0,0,0,0,0,0,0,231,354,65.3,992,75.0,70.1,40.5,6,14,12,11,25,48.0,52.0,29,20,5,8,1,22,31.8,0.68,0.05,0.14,39.3,2.43,0.29,0,2019-2020
504,Giorgio Chiellini,Italy,DF,Juventus,Serie A,34,1984,4,202,1,0,1,1,0,0.2,0.2,6,3,0.45,0.00,3,0,100.0,2,0,1,9,0,0,0,0,0,0,0,0,97,111,87.4,527,88.6,89.1,71.4,0,4,0,18,1,100.0,0.0,6,1,1,0,1,1,100.0,0.45,1.00,1.00,57.1,1.34,0.00,0,2019-2020
505,Federico Chiesa,Italy,FW,Fiorentina,Serie A,21,1997,34,2637,10,6,16,9,1,12.2,10.6,108,96,0.34,0.20,38,22,19.2,0,19,6,6,0,0,0,0,0,0,0,0,602,827,72.8,2892,81.3,74.3,54.3,48,58,40,5,91,57.1,42.9,108,55,40,48,10,109,37.6,1.40,0.08,0.22,25.0,3.82,0.48,0,2019-2020
506,Ben Chilwell,England,DF,Leicester City,Premier League,22,1996,27,2373,3,3,6,3,0,1.0,1.0,109,126,0.11,0.11,43,26,44.2,6,24,28,68,2,0,0,0,0,0,0,0,1544,2021,76.4,7050,89.4,79.1,37.9,34,109,22,73,50,38.0,62.0,109,77,16,22,3,16,37.5,0.23,0.19,0.50,59.1,2.73,0.30,0,2019-2020
507,Vlad Chiricheș,Romania,DF,Sassuolo,Serie A,29,1989,9,707,0,0,0,0,0,0.2,0.2,5,17,0.00,0.00,14,9,70.0,8,5,11,28,2,0,0,0,0,0,0,0,448,485,92.4,3074,92.9,95.6,78.0,0,21,1,75,6,100.0,0.0,5,2,0,3,0,2,0.0,0.00,0.00,0,53.3,0.25,0.13,0,2019-2020
509,Joris Chotard,France,MF,Montpellier,Ligue 1,17,2001,20,1251,0,0,0,0,0,0.2,0.2,8,59,0.00,0.00,30,18,42.9,5,7,20,12,1,0,0,0,0,0,0,0,417,545,76.5,2554,83.3,82.3,64.7,11,53,9,24,15,46.7,53.3,8,9,0,4,0,9,22.2,0.14,0.00,0.00,61.1,1.51,0.00,0,2019-2020
510,Hamza Choudhury,England,MF,Leicester City,Premier League,21,1997,20,893,1,1,2,1,0,0.4,0.4,5,32,0.10,0.10,17,8,12.0,6,9,24,13,0,0,0,0,0,0,0,0,428,501,85.4,1474,88.7,90.2,72.9,4,29,3,25,10,30.0,70.0,5,8,1,5,1,7,28.6,0.20,0.14,0.50,54.5,1.11,0.10,0,2019-2020
511,Mounir Chouiar,France,MF,Dijon,Ligue 1,20,1999,20,1506,4,0,4,4,0,3.6,3.6,67,54,0.24,0.00,36,23,28.6,0,8,13,13,0,0,0,0,0,0,0,0,448,635,70.6,2355,81.4,75.0,47.8,44,32,16,15,112,62.5,37.5,67,42,20,36,4,39,43.6,1.02,0.10,0.24,50.0,4.90,0.12,0,2019-2020
512,Andreas Christensen,Denmark,DF,Chelsea,Premier League,23,1996,21,1751,0,0,0,0,0,0.5,0.5,17,75,0.00,0.00,38,21,71.4,8,4,29,56,0,0,0,0,0,0,0,0,1199,1314,91.2,7215,92.4,96.1,70.1,4,78,1,137,4,100.0,0.0,17,12,0,1,0,7,28.6,0.10,0.00,0.00,58.1,0.72,0.10,0,2019-2020
513,Samuel Chukwueze,Nigeria,FW,Villarreal,La Liga,20,1999,37,2048,3,2,5,3,0,3.4,3.4,119,85,0.13,0.09,23,14,43.3,1,14,10,14,1,0,0,0,0,0,0,0,546,762,71.7,2208,80.6,77.0,62.0,39,37,28,17,112,56.3,43.8,119,71,54,29,3,48,22.9,0.48,0.06,0.27,32.5,4.62,0.53,0,2019-2020
