player_name,club_name,tackles_won,interceptions
"Erik Thommy","Stuttgart",1,4
"Marcus Thuram","Gladbach",4,5
"Alexis Tibidi","Stuttgart",2,2
"Steffen Tigges","Dortmund",3,0
"Malik Tillman","Bayern Munich",1,2
"Timothy Tillman","Greuther Fürth",24,12
"Umut Tohumcu","Hoffenheim",0,0
"Corentin Tolisso","Bayern Munich",4,9
"Tiago Tomás","Stuttgart",4,4
"Jordan Torunarigha","Hertha BSC",1,16
"Almamy Touré","Eintracht Frankfurt",10,7
"Lucas Tousart","Hertha BSC",28,33
"Kevin Trapp","Eintracht Frankfurt",0,1
"Christopher Trimmel","Union Berlin",30,35
"Philipp Tschauner","RB Leipzig",0,0
"Tuta","Eintracht Frankfurt",31,44
"Anthony Ujah","Union Berlin",0,0
"Sven Ulreich","Bayern Munich",0,0
"Dayot Upamecano","Bayern Munich",42,28
"Benjamin Uphoff","Freiburg",0,0
"Mark Uth","Köln",21,14
"Ruben Vargas","Augsburg",22,18
"Sebastian Vasiliadis","Arminia",17,27
"Micky van de Ven","Wolfsburg",4,3
"Vincent Vermeij","Freiburg",0,0
"Gabriel Vidovic","Bayern Munich",0,0
"Nick Viergever","Greuther Fürth",23,36
"Andreas Voglsammer","Union Berlin",10,2
"Kevin Vogt","Hoffenheim",11,15
"Aster Vranckx","Wolfsburg",14,13
"Luca Waldschmidt","Wolfsburg",1,8
"Paul Wanner","Bayern Munich",1,0
"Wout Weghorst","Wolfsburg",5,2
"Noah Weißhaupt","Freiburg",1,1
"Silvan Widmer","Mainz 05",30,39
"Jetro Willems","Greuther Fürth",16,14
"Patrick Wimmer","Arminia",31,26
"Jonas Wind","Wolfsburg",6,7
"Marten Winkler","Hertha BSC",0,0
"Frederik Winther","Augsburg",2,8
"Florian Wirtz","Leverkusen",12,11
"Axel Witsel","Dortmund",27,28
"Hannes Wolf","Gladbach",12,2
"Marius Wolf","Dortmund",15,15
"Luca Wollschläger","Hertha BSC",1,0
"Jeong Woo-yeong","Freiburg",10,6
"Joscha Wosz","RB Leipzig",0,0
"Dan-Axel Zagadou","Dortmund",8,16
"Denis Zakaria","Gladbach",11,18
"Deyovaisio Zeefuik","Hertha BSC",11,10
"Robin Zentner","Mainz 05",2,3
"Andi Zeqiri","Augsburg",7,2
"Simon Zoller","Bochum",3,4
