player_name,club_name,tackles_won,interceptions
"Arnaud Souquet","Montpellier",36,31
"Saidou Sow","Saint-Étienne",18,24
"Calvin Stengs","Nice",7,8
"Kamaldeen Sulemana","Rennes",14,4
"Abdoulaye Sylla","Nantes",4,1
"Waniss Taibi","Angers",7,2
"Flavien Tait","Rennes",19,18
"Florian Tardieu","Troyes",27,42
"Oussama Targhalline","Marseille",0,0
"Loum Tchaouna","Rennes",1,1
"Enzo Tchato","Montpellier",0,0
"Warren Tchimbembé","Metz",1,1
"Aurélien Tchouaméni","Monaco",49,96
"Mathys Tel","Rennes",0,1
"Jordan Tell","Clermont Foot",5,0
"Martin Terrier","Rennes",34,19
"Tetê","Lyon",6,3
"Sada Thioub","Saint-Étienne",6,7
"Sada Thioub","Angers",0,0
"Romain Thomas","Angers",40,43
"Adrien Thomasson","Strasbourg",32,32
"Matheus Thuler","Montpellier",12,9
"Khéphren Thuram","Nice",21,27
"Cheikh Tidiane Sabaly","Metz",3,0
"Jean-Clair Todibo","Nice",39,54
"Karl Toko Ekambi","Lyon",8,19
"Yoann Touzghar","Troyes",2,0
"Amadou Traore","Bordeaux",0,0
"Boubacar Traoré","Metz",28,22
"Charles Traore","Nantes",15,16
"Hamari Traoré","Rennes",36,38
"Ismaël Traoré","Angers",16,42
"Miguel Trauco","Saint-Étienne",18,23
"Adrien Truffert","Rennes",23,15
"Matthieu Udol","Metz",14,29
"Ike Ugbo","Troyes",1,2
"Lesley Ugochukwu","Rennes",9,3
"Hwang Ui-jo","Bordeaux",4,5
"Cengiz Ünder","Marseille",13,14
"Jere Uronen","Brest",16,17
"Vanderson","Monaco",21,11
"Jonathan Varane","Lens",0,0
"Marco Verratti","Paris Saint-Germain",40,19
"Kevin Volland","Monaco",10,3
"Elye Wahi","Montpellier",10,4
"Timothy Weah","Lille",8,9
"Georginio Wijnaldum","Paris Saint-Germain",9,7
"Christopher Wooh","Lens",13,23
"Xeka","Lille",26,22
"Sekou Yansané","Paris Saint-Germain",0,0
"Yusuf Yazıcı","Lille",5,2
"Burak Yılmaz","Lille",3,2
"Leny Yoro","Lille",0,0
"Zaydou Youssouf","Saint-Étienne",25,16
"Akim Zedadka","Clermont Foot",48,60
"Arber Zeneli","Reims",0,1
"Mehdi Zerkane","Bordeaux",0,2
"Edon Zhegrova","Lille",7,1
"Tanguy Zoukrou","Troyes",0,0
