player_name,club_name,tackles_won,interceptions
"Monchu","Granada",6,3
"Gonzalo Montiel","Sevilla",4,11
"Ángel Montoro","Granada",13,12
"Martín Montoya","Real Betis",12,11
"Jon Morcillo","Athletic Club",0,0
"Alberto Moreno","Villarreal",7,25
"Álex Moreno","Real Betis",40,31
"Gerard Moreno","Villarreal",2,5
"Tete Morente","Elche",14,12
"Ilaix Moriba","Valencia",17,13
"Manu Morlanes","Espanyol",15,13
"Loren Morón","Espanyol",4,2
"Loren Morón","Real Betis",1,0
"Cristhian Mosquera","Valencia",3,3
"Toni Moya","Alavés",10,18
"Iker Muniain","Athletic Club",12,17
"Aihen Muñoz","Real Sociedad",17,17
"Jeison Murillo","Celta Vigo",10,17
"Vedat Muriqi","Mallorca",3,6
"Yunus Musah","Valencia",14,14
"Shkodran Mustafi","Levante",5,16
"Nacho","Real Madrid",14,37
"Roberto Navarro","Real Sociedad",3,2
"Ximo Navarro","Alavés",19,21
"Jesús Navas","Sevilla",14,17
"Álvaro Negredo","Cádiz",3,2
"Neto","Barcelona",0,0
"Carlos Neva","Granada",20,29
"Saúl Ñíguez","Atlético Madrid",2,0
"Fernando Niño","Mallorca",5,4
"Peru Nolaskoain","Athletic Club",0,0
"Nolito","Celta Vigo",15,8
"Randy Nteka","Rayo Vallecano",13,7
"Unai Núñez","Athletic Club",5,9
"Allan Nyom","Getafe",1,3
"Jan Oblak","Atlético Madrid",0,1
"Lucas Ocampos","Sevilla",25,9
"Lucas Olaza","Elche",3,4
"Oier Olazábal","Espanyol",0,0
"Brian Oliván","Mallorca",20,29
"Mathías Olivera","Getafe",48,55
"Javier Ontiveros","Osasuna",0,1
"Pedro Ortiz","Sevilla",0,0
"Milutin Osmajić","Cádiz",1,1
"Jesús Owono","Alavés",0,0
"Mikel Oyarzabal","Real Sociedad",9,9
"Fernando Pacheco","Alavés",1,0
"Jon Pacheco","Real Sociedad",4,6
"Helibelton Palacios","Elche",40,18
"Isaac Palazón Camacho","Rayo Vallecano",29,16
"Daniel Parejo","Villarreal",28,28
"Raúl Parra","Cádiz",1,0
"Javier Pastore","Elche",3,4
"Gabriel Paulista","Valencia",13,38
"Alfonso Pedraza","Villarreal",18,30
"Pedri","Barcelona",13,5
"Adrià Pedrosa","Espanyol",29,24
"Facundo Pellistri","Alavés",5,5
"Rubén Peña","Villarreal",0,5
"Alberto Perea","Cádiz",10,10
"Iñigo Pérez","Osasuna",2,0
"Juan Pérez","Osasuna",0,0
"Kike Pérez","Elche",6,3
"Lucas Pérez","Elche",1,4
"Lucas Pérez","Cádiz",3,0
"Njegoš Petrović","Granada",11,10
"Alex Petxa","Athletic Club",8,4
"Germán Pezzella","Real Betis",11,38
"Pablo Piatti","Elche",5,2
"Cristiano Piccini","Valencia",8,2
"Tomás Pina Isla","Alavés",16,20
"Orbelín Pineda","Celta Vigo",1,0
"Yeremi Pino","Villarreal",14,7
"Gerard Piqué","Barcelona",11,35
"Ezequiel Ponce","Elche",4,1
"Pere Pons","Alavés",18,6
"Portu","Real Sociedad",7,5
"Sergio Postigo","Levante",8,8
"Darío Poveda","Getafe",0,0
"José Pozo","Rayo Vallecano",2,0
"Abdón Prats","Mallorca",2,1
"Alejandro Primo","Levante",0,0
"Javi Puado","Espanyol",15,12
"Marc Pubill","Levante",7,5
"Antonio Puertas","Granada",24,10
"Riqui Puig","Barcelona",3,3
"Yacine Qasmi","Rayo Vallecano",0,0
"Quini","Granada",37,36
"Dani Raba","Granada",2,1
