league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
FRA-Ligue 1,2324,Lille,Angel Gomes,5,2023,160,5598,M S,31,2605,0,1.7343415468931198,0,1.7343415468931198,8,7.5377010479569435,35,48,5,0,12.069569908082485,7.670033901929855
FRA-Ligue 1,2324,Lille,Ayyoub Bouaddi,5,2023,160,12162,M S,9,117,0,0.0,0,0.0,0,0.01739376224577427,0,1,1,1,0.799903616309166,0.7825098484754562
FRA-Ligue 1,2324,Lille,Bafode Diakite,5,2023,160,7268,D S,21,1695,5,2.9714528992772102,5,2.9714528992772102,2,1.72285920009017,16,13,4,0,5.852686842903495,5.478594264015555
FRA-Ligue 1,2324,Lille,Benjamin André,5,2023,160,3223,M S,30,2576,4,3.6749807577580214,4,3.6749807577580214,0,1.4772163350135088,23,20,8,0,11.224076591432095,8.860409907996655
FRA-Ligue 1,2324,Lille,Carlos Baleba,5,2023,160,10527,M S,2,65,0,0.030348950996994972,0,0.030348950996994972,0,0.0,2,0,0,0,0.5445556640625,0.5142067074775696
FRA-Ligue 1,2324,Lille,Edon Zhegrova,5,2023,160,10328,F M S,33,2333,6,6.623751133680344,6,6.623751133680344,6,6.066135792993009,82,47,3,1,15.320663623511791,6.366063013672829
FRA-Ligue 1,2324,Lille,Gabriel Gudmundsson,5,2023,160,9944,D F M S,25,1253,1,1.5891057532280684,1,1.5891057532280684,0,1.3782710460945964,15,13,2,0,5.1626202538609505,2.6232249941676855
FRA-Ligue 1,2324,Lille,Hákon Haraldsson,5,2023,160,11757,F M S,26,1280,2,1.2596768289804459,2,1.2596768289804459,0,1.6958199627697468,12,15,5,0,4.924335990101099,2.4288825653493404
FRA-Ligue 1,2324,Lille,Ichem Ferrah,5,2023,160,11252,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
FRA-Ligue 1,2324,Lille,Ignacio Miramón,5,2023,160,11905,M S,2,39,0,0.028726566582918167,0,0.028726566582918167,0,0.0,2,0,0,0,0.2108672857284546,0.18214072287082672
FRA-Ligue 1,2324,Lille,Ismaily,5,2023,160,10811,D S,30,2479,1,0.5590428728610277,1,0.5590428728610277,1,1.4929571133106947,7,10,1,0,8.811350658535957,7.800560588017106
FRA-Ligue 1,2324,Lille,Ivan Cavaleiro,5,2023,160,3683,F M S,17,782,1,1.7073889076709747,1,1.7073889076709747,1,1.4392605368047953,10,12,1,0,3.40888093970716,1.5040980707854033
FRA-Ligue 1,2324,Lille,Jonathan Christian David,5,2023,160,8636,F S,34,2662,19,20.245989114046097,17,17.965703658759594,4,3.6278544832021,79,32,4,0,23.10569333843887,5.178990771993995
FRA-Ligue 1,2324,Lille,Leny Yoro,5,2023,160,10564,D S,32,2670,2,2.2766736643388867,2,2.2766736643388867,0,0.1037881076335907,14,2,5,0,6.415431879460812,6.2826026901602745
FRA-Ligue 1,2324,Lille,Lucas Chevalier,5,2023,160,8638,GK,33,2970,0,0.0,0,0.0,0,0.11662076413631439,0,2,1,0,3.205430978909135,3.0888102184981108
